项目名称,采购单位,代理机构,中标成交方,金额元,截止时间,发布日期,联系人,联系方式,地址,项目编号,来源链接
潮州市大语言模型气象业务应用服务项目,广东省潮州市气象局,蚌埠市立信工程咨询有限公司,珠澳气象创新与应用研究中心,178500,,2026-07-13,庄素曼,13828381727,潮州市红山森林公园职工宿舍后,立信CZ2026020号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202607/t20260713_26923066.htm
运动队科研设备购置人工智能视频快速反馈系统项目,陕西省手球曲棍球棒球垒球运动管理中心,陕西上德招标有限公司,西安梓尧实业有限公司,149800,,2026-07-13,曹幸（03号工位）、杨宗峰、魏蕾,029-86673953、86518381、89299829、89293231转803,西安市建西街99号,SDZC2026-055,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260713_26923825.htm
2026绿色算力（人工智能）大会服务项目及《绿色算力发展研究报告（2026年）》、《“东数西算”枢纽节点绿色算力指数研究报告（2026年）》编制服务,中国（内蒙古）自由贸易试验区呼和浩特片区、内蒙古和林格尔新区招商服务局,内蒙古中鑫基工程项目管理有限公司,,,,2026-07-13,冯亚亮、董燕、顾雪娇、王小燕、张小兵,15248150013,呼和浩特市盛乐现代服务业集聚区企业总部大楼三楼南3318室,150136-NMZXJ-GK-20260001,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202607/t20260713_26923787.htm
赣南师范大学“苏区红”大模型教育大模型软件采购（一期）项目,赣南师范大学,江西省机电设备招标有限公司,,,,2026-07-13,刘莹婷,0797-8387887,江西省赣州市蓉江新区师大南路1号,JXTC2026250112,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202607/t20260713_26922281.htm
Agent(智能体)数字员工中小企业数字化应用创新中心建设项目,济南工程职业技术学院,山东正辰项目管理有限公司,,1200000,2026-07-23 09:00:00,2026-07-12,赵老师,0531-88758525、13075356015,济南市章丘区经十东路6088号,SDGP370100000202602000729,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260712_26919051.htm
AI教学智能体计算基座升级项目,浙江树人学院,浙江求是招标代理有限公司,,1800000,2026-07-22 09:00:00,2026-07-11 15:31:00,陈应俭、俞炳、林心怡,0571-87670302,杭州市拱墅区舟山东路19号,330000263030200000188-QSZBB260225ZHCS,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260711_26917493.htm
杭州医学院全科医学人工智能通用大模型教学应用平台服务项目,杭州医学院,浙江省国际技术设备招标有限公司,坤和医疗产业发展（杭州）有限公司,268000,,2026-07-11,刘老师,13588080482,浙江省杭州市临安区颐康街8号,330000263030370000030-HMC20260305003,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260711_26917783.htm
浙江省智能体发展思路与重点任务研究,浙江省发展和改革委员会（本级）,浙江国际招投标有限公司,,200000,2026-07-21 09:00:00,2026-07-10 17:02:00,陶云龙，赵丹威,0571-81061831，81061807,浙江省杭州市西湖区省府路8号,330000263010010000247-ZJ-2612004,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260710_26913251.htm
安徽理工大学2026年多模态AI大模型分析系统建设项目,安徽理工大学,淮南市政府采购中心,,11242000,2026-07-30 08:30:00,2026-07-10 16:10:00,孙凯,05546634216,安徽省淮南市泰丰大街168号,2026CG0145,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260710_26911811.htm
华中科技大学同济医学院附属协和医院AI赋能新药临床试验算法模型训练服务采购项目,华中科技大学同济医学院附属协和医院,湖北省招标股份有限公司,湖北精诊医疗科技有限公司,12980000,,2026-07-10,周丹娜,027-87273661,湖北省武汉市解放大道1277号,HBT-105126018-263342,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202607/t20260710_26907733.htm
专业群AI大模型训练与应用平台,长春汽车职业技术大学,吉林省建宏招标有限公司,,4607500,2026-08-04 10:00:00,2026-07-10,孙健,18088666459,长春汽车经济技术开发区新红旗大街1777号,JM-2026-06-04973-C0101,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260710_26912544.htm
矿山安全大模型系统,应急管理部信息研究院,北京市京发招标有限公司,,2670000,2026-07-17 17:00:00,2026-07-10,聂婷婷,010-67118164,北京市朝阳区芍药居35号中煤信息大厦,202607172001,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260710_26911201.htm
AI智能体创新应用与服务平台项目,西安石油大学,陕西卓佲项目管理有限公司,,1890000,2026-07-17,2026-07-10,董菊莉 李彦锡,17778966062,西安市电子二路18号,ZMZB2026SYDX-284,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202607/t20260710_26915421.htm
上海铁路公安局2026年互联网涉案终端数据智能分析服务,上海铁路公安局,上海浦成机电设备招标有限公司,,1880000,2026-07-17 16:00:00,2026-07-10,王志坚,021-58792595,上海市静安区天目东路80号,PCMET-2612YG0709,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260710_26912320.htm
